k,GMM,Kmeans
2,0.9256900212314225,0.9256900212314225
3,0.9256900212314225,0.9256900212314225
4,0.9766454352441614,0.9256900212314225
5,0.9670912951167728,0.9256900212314225
6,0.9830148619957537,0.9256900212314225
7,0.9830148619957537,0.9341825902335457
8,0.9904458598726115,0.9256900212314225
9,0.9904458598726115,0.9256900212314225
10,0.9904458598726115,0.9256900212314225
15,0.9808917197452229,0.9278131634819533
20,0.975583864118896,0.9639065817409767
25,0.9861995753715499,0.9681528662420382
30,0.9766454352441614,0.9607218683651805
