k,GMM,Kmeans
2,-0.0002467783635834653,0.00012118971630445613
3,2.2374453398932385e-05,0.0012699756082800255
4,0.15308933669866223,0.00866069868666267
5,0.09761901953123601,0.00939579384412989
6,0.13522898493289962,0.00686937184336734
7,0.12724601407548,0.04930906742012413
8,0.12781521251722863,0.037311594491395275
9,0.11947435078602178,0.03727906626827716
10,0.11762869537372711,0.016455069644338693
15,0.0820923971788209,0.030960711441544927
20,0.07080019706582981,0.047719311922965996
25,0.07523632224673155,0.045016538469718044
30,0.06519552881127545,0.04093174091250071
