k,type,score,label
2,Kmeans,0.347525,1
2,Kmeans,0.204079,0
2,Kmeans,0.245507,0
2,Kmeans,0.196782,0
2,Kmeans,0.363548,1
2,Kmeans,0.18637,0
2,Kmeans,0.128449,0
2,Kmeans,0.204809,1
2,Kmeans,0.290827,1
2,Kmeans,0.358577,1
2,Kmeans,0.345917,1
2,Kmeans,0.167278,0
2,Kmeans,0.302212,1
2,Kmeans,0.214312,0
2,Kmeans,0.350088,1
2,Kmeans,0.221978,0
2,Kmeans,0.367611,1
2,Kmeans,0.226704,1
2,Kmeans,0.248774,1
2,Kmeans,0.289666,1
2,Kmeans,0.315178,1
2,Kmeans,0.280178,1
2,Kmeans,0.273069,1
2,Kmeans,0.257383,1
2,Kmeans,0.252486,1
2,Kmeans,0.207107,0
2,Kmeans,0.30051,1
2,Kmeans,0.230583,1
2,Kmeans,0.245638,1
2,Kmeans,0.316473,1
2,Kmeans,0.303959,1
2,Kmeans,0.352283,1
2,Kmeans,0.327794,1
2,Kmeans,0.268559,1
2,Kmeans,0.337075,1
2,Kmeans,0.256759,1
2,Kmeans,0.376814,1
2,Kmeans,0.297439,1
2,Kmeans,0.217947,1
2,Kmeans,0.329718,1
2,Kmeans,0.327744,1
2,Kmeans,0.313026,1
2,Kmeans,0.155868,0
2,Kmeans,0.357364,1
2,Kmeans,0.330497,1
2,Kmeans,0.346027,1
2,Kmeans,0.277542,1
2,Kmeans,0.263926,1
2,Kmeans,0.211864,0
2,Kmeans,0.380126,1
2,Kmeans,0.331696,1
2,Kmeans,0.326727,1
2,Kmeans,0.278401,1
2,Kmeans,0.285846,1
2,Kmeans,0.226089,1
2,Kmeans,0.240239,1
2,Kmeans,0.326735,1
2,Kmeans,0.366629,1
2,Kmeans,0.291116,1
2,Kmeans,0.327957,1
2,Kmeans,0.202065,0
2,Kmeans,0.29811,1
2,Kmeans,0.208567,1
2,Kmeans,0.316998,1
2,Kmeans,0.215748,1
2,Kmeans,0.209421,0
2,Kmeans,0.140748,0
2,Kmeans,0.288593,1
2,Kmeans,0.324786,1
2,Kmeans,0.276365,1
2,Kmeans,0.351339,1
2,Kmeans,0.289938,1
2,Kmeans,0.163348,0
2,Kmeans,0.314241,1
2,Kmeans,0.160995,0
2,Kmeans,0.159502,0
2,Kmeans,0.149842,0
2,Kmeans,0.366692,1
2,Kmeans,0.171612,0
2,Kmeans,0.128178,0
2,Kmeans,0.369375,1
2,Kmeans,0.167762,1
2,Kmeans,0.258321,1
2,Kmeans,0.26154,1
2,Kmeans,0.262237,1
2,Kmeans,0.319503,1
2,Kmeans,0.300933,1
2,Kmeans,0.316363,1
2,Kmeans,0.282481,1
2,Kmeans,0.329534,1
2,Kmeans,0.314857,1
2,Kmeans,0.241823,1
2,Kmeans,0.278146,1
2,Kmeans,0.363548,1
2,Kmeans,0.288526,1
2,Kmeans,0.337725,1
2,Kmeans,0.320056,1
2,Kmeans,0.223731,1
2,Kmeans,0.325333,1
2,Kmeans,0.203769,0
2,Kmeans,0.311632,1
2,Kmeans,0.29857,1
2,Kmeans,0.016132,0
2,Kmeans,0.374624,1
2,Kmeans,0.18926,0
2,Kmeans,0.283139,1
2,Kmeans,0.338434,1
2,Kmeans,0.274425,1
2,Kmeans,0.015998,0
2,Kmeans,0.189756,1
2,Kmeans,0.240002,1
2,Kmeans,0.286919,1
2,Kmeans,0.245257,1
2,Kmeans,0.20459,0
2,Kmeans,0.372827,1
2,Kmeans,0.22426,1
2,Kmeans,0.144115,0
2,Kmeans,0.288669,1
2,Kmeans,0.373062,1
2,Kmeans,0.176297,0
2,Kmeans,0.203725,0
2,Kmeans,0.171181,1
2,Kmeans,0.253725,1
2,Kmeans,0.309897,1
2,Kmeans,0.310814,1
2,Kmeans,0.331643,1
2,Kmeans,0.35796,1
2,Kmeans,0.388715,1
2,Kmeans,0.192221,1
2,Kmeans,0.374791,1
2,Kmeans,0.342988,1
2,Kmeans,0.338049,1
2,Kmeans,0.324496,1
2,Kmeans,0.317181,1
2,Kmeans,0.337307,1
2,Kmeans,0.301736,1
2,Kmeans,0.129978,0
2,Kmeans,0.312218,1
2,Kmeans,0.330663,1
2,Kmeans,0.296331,1
2,Kmeans,0.317224,1
2,Kmeans,0.301155,1
2,Kmeans,0.289238,1
2,Kmeans,0.317834,1
2,Kmeans,0.304266,1
2,Kmeans,0.320639,1
2,Kmeans,0.223086,0
2,Kmeans,0.210572,0
2,Kmeans,0.322193,1
2,Kmeans,0.28571,1
2,Kmeans,0.333001,1
2,Kmeans,0.294478,1
2,Kmeans,0.207708,0
2,Kmeans,0.156125,1
2,Kmeans,0.133287,0
2,Kmeans,0.378109,1
2,Kmeans,0.275913,1
2,Kmeans,0.211414,1
