k,GMM,Kmeans
2,0.19278811896508966,0.27806224523001216
3,0.17720833020751986,0.2307412515278358
4,0.16942073811888572,0.2376646080799836
5,0.20388373055382078,0.27678583727635225
6,0.22481861939751363,0.27238818151800515
7,0.23164255824488553,0.27770299355397327
8,0.26526692433416027,0.2624510141355101
9,0.28273396721938127,0.28042482915976374
10,0.279520221438709,0.3102723603325032
15,0.2853882238073271,0.32597828180108585
20,0.2734476059908207,0.330342638100565
25,0.26541151640004007,0.33342118176983193
30,0.2694694089317569,0.32231489346252196
