k,GMM,Kmeans
2,0.3163590941995423,0.15505344523015274
3,0.253602070269487,0.1549724172190098
4,0.0946759280359198,0.15936587332734936
5,0.08608964906155664,0.16332177148216948
6,0.11039813494815268,0.17025416558494452
7,0.10947375759204474,0.1711405811431983
8,0.09061139122271161,0.17225861625608277
9,0.08381695774326066,0.17152912512541316
10,0.09132158175339908,0.15974076572749704
15,0.07333243718182578,0.16485447920622423
20,0.06937434289998033,0.1621340141164997
25,0.09126754616715665,0.16663022465970956
30,0.10625600927533739,0.17307785375721466
