k,GMM,Kmeans
2,0.9256900212314225,0.9256900212314225
3,0.9256900212314225,0.9256900212314225
4,0.9256900212314225,0.9256900212314225
5,0.9256900212314225,0.9256900212314225
6,0.9299363057324841,0.9256900212314225
7,0.9320594479830149,0.9256900212314225
8,0.9299363057324841,0.9256900212314225
9,0.9299363057324841,0.9416135881104034
10,0.9363057324840764,0.9320594479830149
15,0.9256900212314225,0.9320594479830149
20,0.9341825902335457,0.9511677282377919
25,0.9363057324840764,0.9490445859872612
30,0.9309978768577495,0.9554140127388535
