k,GMM,Kmeans
2,0.010472004507903688,0.010472004507903688
3,0.014331767467574159,0.023122264318215128
4,0.041714791803366416,0.049326644455448064
5,0.03784392166760928,0.06124776580241362
6,0.058087566496175864,0.05200964369144824
7,0.049851165209453534,0.048769034373770746
8,0.05174751758225586,0.042518550453683815
9,0.05374310122377504,0.04539108108577584
10,0.048021336327248275,0.040581159502167154
15,0.04142890529214529,0.04067728603633836
20,0.033231248851344666,0.042698071806291
25,0.034937789778296514,0.039228990739919097
30,0.030192927616844778,0.037689571789741756
