k,type,score,label
2,Kmeans,0.433639,0
2,Kmeans,0.646705,1
2,Kmeans,0.634717,1
2,Kmeans,0.582384,1
2,Kmeans,0.469334,0
2,Kmeans,0.66175,1
2,Kmeans,0.292461,1
2,Kmeans,0.392044,0
2,Kmeans,0.434363,0
2,Kmeans,0.428291,0
2,Kmeans,0.530132,0
2,Kmeans,0.559035,1
2,Kmeans,0.503773,0
2,Kmeans,0.606036,1
2,Kmeans,0.494492,0
2,Kmeans,0.595192,1
2,Kmeans,0.482985,0
2,Kmeans,0.281154,0
2,Kmeans,0.442644,0
2,Kmeans,0.487819,0
2,Kmeans,0.339228,0
2,Kmeans,0.439685,0
2,Kmeans,0.366944,0
2,Kmeans,0.421869,0
2,Kmeans,0.399697,0
2,Kmeans,0.563185,1
2,Kmeans,0.280437,0
2,Kmeans,0.392269,0
2,Kmeans,0.478599,0
2,Kmeans,0.553108,0
2,Kmeans,0.407319,0
2,Kmeans,0.522195,0
2,Kmeans,0.347194,0
2,Kmeans,0.309596,0
2,Kmeans,0.545516,0
2,Kmeans,0.425217,0
2,Kmeans,0.535967,0
2,Kmeans,0.547214,0
2,Kmeans,0.406878,0
2,Kmeans,0.465078,0
2,Kmeans,0.340137,0
2,Kmeans,0.363567,0
2,Kmeans,0.57456,1
2,Kmeans,0.547446,0
2,Kmeans,0.345042,0
2,Kmeans,0.441523,0
2,Kmeans,0.428992,0
2,Kmeans,0.389394,0
2,Kmeans,0.538347,1
2,Kmeans,0.54135,0
2,Kmeans,0.394623,0
2,Kmeans,0.389953,0
2,Kmeans,0.307722,0
2,Kmeans,0.298972,0
2,Kmeans,0.365709,0
2,Kmeans,0.46613,0
2,Kmeans,0.565053,0
2,Kmeans,0.524704,0
2,Kmeans,0.354672,0
2,Kmeans,0.411822,0
2,Kmeans,0.663669,1
2,Kmeans,0.539914,0
2,Kmeans,0.370509,0
2,Kmeans,0.441815,0
2,Kmeans,0.314176,0
2,Kmeans,0.534982,1
2,Kmeans,0.503599,1
2,Kmeans,0.440198,0
2,Kmeans,0.458194,0
2,Kmeans,0.484011,0
2,Kmeans,0.526023,0
2,Kmeans,0.316504,0
2,Kmeans,0.645579,1
2,Kmeans,0.512269,0
2,Kmeans,0.655859,1
2,Kmeans,0.602348,1
2,Kmeans,0.533784,1
2,Kmeans,0.541476,0
2,Kmeans,0.569707,1
2,Kmeans,0.444771,1
2,Kmeans,0.543951,0
2,Kmeans,0.225904,0
2,Kmeans,0.417866,0
2,Kmeans,0.537102,0
2,Kmeans,0.288861,0
2,Kmeans,0.384448,0
2,Kmeans,0.309872,0
2,Kmeans,0.34637,0
2,Kmeans,0.473234,0
2,Kmeans,0.477324,0
2,Kmeans,0.385869,0
2,Kmeans,0.262837,0
2,Kmeans,0.468861,0
2,Kmeans,0.469334,0
2,Kmeans,0.32049,0
2,Kmeans,0.533863,0
2,Kmeans,0.443637,0
2,Kmeans,0.378699,0
2,Kmeans,0.359078,0
2,Kmeans,0.556572,1
2,Kmeans,0.418223,0
2,Kmeans,0.415088,0
2,Kmeans,0.245471,0
2,Kmeans,0.513488,0
2,Kmeans,0.57375,1
2,Kmeans,0.48627,0
2,Kmeans,0.564186,0
2,Kmeans,0.433075,0
2,Kmeans,0.400075,0
2,Kmeans,0.284173,0
2,Kmeans,0.407758,0
2,Kmeans,0.324002,0
2,Kmeans,0.279398,0
2,Kmeans,0.636844,1
2,Kmeans,0.502418,0
2,Kmeans,0.364091,0
2,Kmeans,0.581873,1
2,Kmeans,0.323119,0
2,Kmeans,0.498892,0
2,Kmeans,0.444254,1
2,Kmeans,0.568123,1
2,Kmeans,0.244531,0
2,Kmeans,0.446202,0
2,Kmeans,0.429878,0
2,Kmeans,0.419974,0
2,Kmeans,0.437608,0
2,Kmeans,0.489343,0
2,Kmeans,0.557988,0
2,Kmeans,0.474836,0
2,Kmeans,0.533454,0
2,Kmeans,0.473339,0
2,Kmeans,0.465743,0
2,Kmeans,0.419171,0
2,Kmeans,0.421953,0
2,Kmeans,0.543952,0
2,Kmeans,0.408122,0
2,Kmeans,0.41686,1
2,Kmeans,0.465686,0
2,Kmeans,0.503268,0
2,Kmeans,0.416421,0
2,Kmeans,0.317501,0
2,Kmeans,0.524752,0
2,Kmeans,0.494735,0
2,Kmeans,0.400097,0
2,Kmeans,0.323912,0
2,Kmeans,0.343763,0
2,Kmeans,0.551364,1
2,Kmeans,0.541063,1
2,Kmeans,0.418079,0
2,Kmeans,0.50046,0
2,Kmeans,0.351279,0
2,Kmeans,0.52619,0
2,Kmeans,0.548702,1
2,Kmeans,0.208766,0
2,Kmeans,0.232843,1
2,Kmeans,0.498409,0
2,Kmeans,0.433996,0
2,Kmeans,0.445637,0
2,Kmeans,0.43224,0
2,Kmeans,0.399971,1
2,Kmeans,0.394704,0
2,Kmeans,0.484483,0
2,Kmeans,0.301289,1
2,Kmeans,0.533149,0
2,Kmeans,0.543014,0
2,Kmeans,0.437895,0
2,Kmeans,0.61445,1
2,Kmeans,0.346845,0
2,Kmeans,0.535794,0
2,Kmeans,0.526475,0
2,Kmeans,0.4462,0
2,Kmeans,0.454253,0
2,Kmeans,0.398665,0
2,Kmeans,0.522632,0
2,Kmeans,0.418083,0
2,Kmeans,0.400586,0
2,Kmeans,0.581092,1
2,Kmeans,0.312812,0
2,Kmeans,0.521128,0
2,Kmeans,0.550284,0
2,Kmeans,0.470907,0
2,Kmeans,0.659192,1
2,Kmeans,0.541113,1
2,Kmeans,0.498918,0
2,Kmeans,0.514499,0
2,Kmeans,0.529797,0
2,Kmeans,0.490001,0
2,Kmeans,0.526882,1
2,Kmeans,0.395007,0
2,Kmeans,0.516056,0
2,Kmeans,0.317402,0
2,Kmeans,0.298972,0
2,Kmeans,0.323047,0
2,Kmeans,0.379105,0
2,Kmeans,0.350066,0
