k,GMM,Kmeans
2,0.44434695550897757,0.44434695550897757
3,0.37945883482710396,0.3851707606555129
4,0.3883172227706669,0.42279012056157145
5,0.30175547198603353,0.3966236533240064
6,0.32024123556906403,0.3773543830869543
7,0.2899976680872357,0.3618662537840192
8,0.2768305372403637,0.3581116598365281
9,0.27537702322034824,0.33386992987786474
10,0.21251595300233464,0.35230710714089775
15,0.19661823548230242,0.349176799289249
20,0.07118681266994789,0.3433333134532946
25,0.09088004669982482,0.3334525970349702
30,0.1095918282785103,0.3365978204638696
