k,GMM,Kmeans
2,0.2952927992581743,0.3060302389461434
3,0.2909531220183498,0.3114244888945359
4,0.27591206841772953,0.32725535270775974
5,0.30372435155930244,0.3206688171980092
6,0.3144915437288329,0.315082665129391
7,0.2660727525767215,0.28597553429673134
8,0.25897321907057025,0.2831487406485899
9,0.24566545552689076,0.26531409840707143
10,0.25338609661348477,0.2651813278253872
15,0.2322284319920686,0.26164213103678885
20,0.15391824062740508,0.26015368132052324
25,0.18414600138017215,0.26260679910448365
30,0.16620919025571843,0.26016351370850127
