k,GMM,Kmeans
2,1.0,1.0
3,0.31609205972149396,0.31609205972149396
4,0.20743662176755445,0.20743662176755445
5,0.18376936138873204,0.18376936138873204
6,0.17702897708029608,0.17857876359445915
7,0.17361751826184402,0.17361751826184402
8,0.17230550508047535,0.17230550508047535
9,0.17230550508047535,0.17230550508047535
10,0.17230550508047535,0.17230550508047535
15,0.17230550508047535,0.17230550508047535
20,0.17230550508047535,0.17230550508047535
25,0.17230550508047535,0.17230550508047535
30,0.17230550508047535,0.17230550508047537
