k,GMM,Kmeans
2,0.42563600782778865,0.5528375733855186
3,0.5587084148727984,0.5636007827788649
4,0.5655577299412916,0.5714285714285714
5,0.5704500978473581,0.5587084148727984
6,0.5694716242661448,0.5626223091976517
7,0.5694716242661448,0.5499021526418787
8,0.5733855185909981,0.5694716242661448
9,0.5733855185909981,0.5704500978473581
10,0.5743639921722113,0.5772994129158513
15,0.5772994129158513,0.6115459882583171
20,0.589041095890411,0.5998043052837574
25,0.5733855185909981,0.6135029354207436
30,0.6066536203522505,0.6144814090019569
