k,GMM,Kmeans
2,0.0026247768629093873,0.10205243802416686
3,0.0974713470816591,0.10808528640641753
4,0.11346504003229617,0.12392621959215797
5,0.11544148907451703,0.09697741135730242
6,0.0963267165163978,0.1024755889971927
7,0.09986205877930576,0.1003451174455603
8,0.09924727119958178,0.09467039141646498
9,0.09479902077091114,0.09188548965323212
10,0.09365654959725794,0.08607725777595915
15,0.07133934802716124,0.08615789317527238
20,0.07032088156750785,0.08139341340515219
25,0.06442164987801546,0.07416210546048854
30,0.06542349357162164,0.06766214797021715
