k,type,score,label
2,Kmeans,0.517897,0
2,Kmeans,-0.045912,1
2,Kmeans,0.261736,1
2,Kmeans,0.333319,1
2,Kmeans,0.146171,1
2,Kmeans,0.410468,0
2,Kmeans,0.558089,0
2,Kmeans,0.116695,0
2,Kmeans,0.429058,0
2,Kmeans,0.537198,0
2,Kmeans,0.464188,0
2,Kmeans,0.03595,1
2,Kmeans,0.471996,0
2,Kmeans,0.234299,1
2,Kmeans,0.5759,0
2,Kmeans,0.472833,0
2,Kmeans,0.184166,1
2,Kmeans,0.569661,0
2,Kmeans,0.52613,0
2,Kmeans,-0.064732,1
2,Kmeans,0.439389,0
2,Kmeans,0.16616,1
2,Kmeans,0.283882,0
2,Kmeans,0.142789,0
2,Kmeans,0.404407,0
2,Kmeans,-0.026288,1
2,Kmeans,0.50147,0
2,Kmeans,0.302026,0
2,Kmeans,0.340093,1
2,Kmeans,0.356364,0
2,Kmeans,0.482163,0
2,Kmeans,0.103999,1
2,Kmeans,0.250903,0
2,Kmeans,-0.158834,1
2,Kmeans,0.423738,0
2,Kmeans,-0.04417,1
2,Kmeans,0.559691,0
2,Kmeans,0.271775,1
2,Kmeans,0.274791,1
2,Kmeans,-0.087591,1
2,Kmeans,0.408178,0
2,Kmeans,0.219858,1
2,Kmeans,0.226054,1
2,Kmeans,0.241411,0
2,Kmeans,0.243602,0
2,Kmeans,0.15757,1
2,Kmeans,0.39519,0
2,Kmeans,-0.179907,1
2,Kmeans,0.164818,1
2,Kmeans,-0.141109,1
2,Kmeans,0.327579,0
2,Kmeans,0.350426,1
2,Kmeans,0.420037,0
2,Kmeans,0.128566,0
2,Kmeans,-0.108693,1
2,Kmeans,0.281672,1
2,Kmeans,0.371156,0
2,Kmeans,0.263252,1
2,Kmeans,0.314088,1
2,Kmeans,0.440657,0
2,Kmeans,0.552181,0
2,Kmeans,0.34377,0
2,Kmeans,0.252654,0
2,Kmeans,0.29082,0
2,Kmeans,0.062936,1
2,Kmeans,0.351525,1
2,Kmeans,0.293821,1
2,Kmeans,0.505522,0
2,Kmeans,0.447023,0
2,Kmeans,0.556769,0
2,Kmeans,0.510654,0
2,Kmeans,0.028574,1
2,Kmeans,0.561023,0
2,Kmeans,0.354717,0
2,Kmeans,0.534415,0
2,Kmeans,0.149346,0
2,Kmeans,0.329565,0
2,Kmeans,0.58022,0
2,Kmeans,0.019106,1
2,Kmeans,0.39572,0
2,Kmeans,-0.058582,1
2,Kmeans,0.244037,0
2,Kmeans,0.553501,0
2,Kmeans,0.12388,0
2,Kmeans,0.322278,0
2,Kmeans,0.253573,1
2,Kmeans,0.346316,0
2,Kmeans,0.480829,0
2,Kmeans,-0.096604,1
2,Kmeans,0.140757,1
2,Kmeans,0.424461,0
2,Kmeans,0.084408,1
2,Kmeans,0.095165,1
