k,GMM,Kmeans
2,0.4833087164156459,0.3002393813909669
3,0.23531648805633923,0.3124697732698964
4,0.23558753002432323,0.3084088486331367
5,0.19066723962500284,0.253085431402554
6,0.20755523862009656,0.24782793239156578
7,0.0713635680506152,0.24563165071941057
8,0.11710541662334216,0.24704904452584248
9,0.1051600657626885,0.25503716491749157
10,0.13613232940432218,0.25597686647453394
15,0.11962058958601927,0.22835912479820814
20,0.14416606874766846,0.2188355487430265
25,0.07013810765496803,0.20915250428207466
30,0.1266439399343699,0.2069015163554501
