k,GMM,Kmeans
2,0.01705854293903802,0.010341668984198372
3,0.08796644287238967,0.004189400299207843
4,0.23725849276303457,0.19838637147805496
5,0.20309382165189224,0.16554211663196983
6,0.1762757658769146,0.14484807234912228
7,0.17361345882207993,0.14374140975144786
8,0.15138777306593623,0.12789541045280595
9,0.14313261957662712,0.12024738545764059
10,0.12274766179950027,0.11440608354544958
15,0.10923072211200359,0.0944405609452072
20,0.10222670554381763,0.08933031723617325
25,0.09333686099288431,0.07894669048009799
30,0.08807967143795149,0.07672461847157223
