,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.13159260749816895,0.022102755253930895,0.0016001224517822265,0.0004891816978426893,0.1,"(10,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 2}",0.31331164694790953,0.6325882684281935,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3893578386476469,0.12210416623198907,441,0.3185240663738119,0.5676956361634685,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3772439405074537,0.09539842374350094
1,0.06939611434936524,0.017269115918952936,0.0018001079559326171,0.00040009042715311857,0.1,"(10,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 3}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
2,0.06899633407592773,0.01312969297692153,0.0019999027252197267,4.623107774177865e-07,0.1,"(10,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 4}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
3,0.08379502296447754,0.014076258743173265,0.001999378204345703,5.840038639982171e-07,0.1,"(10,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 5}",0.3333333333333333,0.3333333333333331,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333326,8.959670986079247e-17,1000,0.3333333333333324,0.3333333333333324,0.33333333333333415,0.3333333333333343,0.3333333333333343,0.33333333333333354,8.995547373193814e-16
4,0.17278923988342285,0.03372861163092235,0.001800203323364258,0.00039989963553210866,0.1,"(10,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 6}",0.9253020751247695,0.594862029050445,0.6756052310059277,0.5715550520934254,0.49084058203391184,0.6518632466392456,0.1490891301745311,149,0.9496578508576418,0.6083160277473516,0.6729648150651029,0.6305884410158835,0.49291934119520536,0.670889295176237,0.15161074670503866
5,0.09339432716369629,0.009728068785399823,0.0019999027252197267,3.162979879718208e-07,0.1,"(10,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 7}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
6,0.14979071617126466,0.027078582938018105,0.0022003650665283203,0.0003998282557095691,0.1,"(10,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 8}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
7,0.15499062538146974,0.036783872109237295,0.003999519348144531,0.003999567101501077,0.1,"(10,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 9}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.3307729236677909,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.33282125140022334,0.0010241638662162045
8,0.17098984718322754,0.023158667239587795,0.001999568939208984,9.702200865447905e-07,0.1,"(10,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 10}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
9,0.27838287353515623,0.09154702373188404,0.0025999069213867186,0.0004900378104780711,0.1,"(10,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 15}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
10,0.4017765045166016,0.10939310012355762,0.0031996250152587892,0.00039992348093430264,0.1,"(10,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 20}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
11,0.48657073974609377,0.05034167052413245,0.0037999629974365236,0.0004002096115242778,0.1,"(10,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 25}",0.33333333333333487,0.9914279416446922,0.4749999999999998,0.3333333333333332,0.4749999999999999,0.521917778808401,0.24359843152721528,284,0.33333333333333753,0.958509553168206,0.653679653679652,0.45893719806762984,0.5900623909145651,0.5989044258326781,0.21095648119586582
12,0.6257620811462402,0.15395328644748887,0.004000186920166016,1.0227017683757409e-06,0.1,"(10,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (10,), 'gmm__n_components': 30}",0.3269230769230783,0.8541666666666663,0.40813008130081285,0.3333333333333332,0.4633982489576258,0.4774309493563852,0.1953537909746283,319,0.3278688524590202,0.6989548750449822,0.6291722595078282,0.45893719806762984,0.6335619783963424,0.5496990326951605,0.13643506397243024
13,0.06039648056030274,0.0032617058445204403,0.0015998363494873046,0.000490018206419483,0.1,"(20,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 2}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
14,0.057796478271484375,0.011855105066423881,0.0015998363494873046,0.0004898235616868641,0.1,"(20,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 3}",0.1745283018867922,0.6783898744683052,0.35596759958420765,0.8015341083882396,0.4149146112876028,0.48494246640340005,0.22614820486649512,301,0.16776119402985104,0.8202869985152647,0.42954705216902556,0.8333865130655816,0.3409331505085799,0.5183829816576606,0.26558959433550305
15,0.07099599838256836,0.008437815852322563,0.001800203323364258,0.00040025804790853344,0.1,"(20,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 4}",0.7333333333333335,0.9885699356650663,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.5450527790240949,0.27095617715437953,256,0.6165765765765798,0.9942609300669215,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.5221675013286979,0.2602922618728731
16,0.0915947437286377,0.00749926409765109,0.0019999027252197267,9.536743164062499e-08,0.1,"(20,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 5}",0.33333333333333487,0.33333333333333465,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333338,7.652068903429485e-16,465,0.33333333333333753,0.33333333333333753,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3333333333333327,4.016951990908394e-15
17,0.11919288635253907,0.024772377952968196,0.002199745178222656,0.00039906517438581215,0.1,"(20,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (20,), 'gmm__n_components': 6}",0.33333333333333487,0.3217054263565902,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3310003456278086,0.00465670832064878,1037,0.33333333333333753,0.31733594515181507,0.33333333333332926,0.3333333333333294,0.3333333333333294,0.3301338556970282,0.006398955272606527
