k,type,score,label
2,Kmeans,0.26192,1
2,Kmeans,0.339986,1
2,Kmeans,0.270487,1
2,Kmeans,0.279188,1
2,Kmeans,0.275702,1
2,Kmeans,0.344176,1
2,Kmeans,0.161358,1
2,Kmeans,0.138248,0
2,Kmeans,0.207664,0
2,Kmeans,0.358231,1
2,Kmeans,0.021107,0
2,Kmeans,0.410935,1
2,Kmeans,0.113718,0
2,Kmeans,0.217338,1
2,Kmeans,0.215222,0
2,Kmeans,0.316702,1
2,Kmeans,0.076392,0
2,Kmeans,-0.013406,0
2,Kmeans,0.253791,0
2,Kmeans,0.243818,1
2,Kmeans,0.404249,1
2,Kmeans,0.077904,1
2,Kmeans,0.315016,1
2,Kmeans,0.332491,1
2,Kmeans,0.303305,0
2,Kmeans,0.378226,1
2,Kmeans,0.096232,0
2,Kmeans,0.014972,0
2,Kmeans,0.05224,1
2,Kmeans,0.308552,0
2,Kmeans,0.324286,1
2,Kmeans,0.333495,0
2,Kmeans,0.413081,1
2,Kmeans,0.012821,0
2,Kmeans,0.200366,0
2,Kmeans,0.203395,0
2,Kmeans,0.2006,1
2,Kmeans,0.039302,0
2,Kmeans,0.196451,0
2,Kmeans,0.088379,0
2,Kmeans,0.299335,1
2,Kmeans,0.206118,0
2,Kmeans,0.20917,1
2,Kmeans,0.092602,0
2,Kmeans,0.367219,1
2,Kmeans,0.294501,1
2,Kmeans,0.316587,1
2,Kmeans,0.219827,0
2,Kmeans,0.365291,1
2,Kmeans,0.127275,0
2,Kmeans,0.315163,1
2,Kmeans,0.326697,1
2,Kmeans,0.361027,1
2,Kmeans,0.133702,1
2,Kmeans,0.083113,0
2,Kmeans,0.104618,1
2,Kmeans,0.193564,0
2,Kmeans,0.094621,1
2,Kmeans,0.300222,0
2,Kmeans,0.210701,0
2,Kmeans,0.329369,1
2,Kmeans,0.185491,1
2,Kmeans,0.168179,0
2,Kmeans,0.046659,0
2,Kmeans,0.097249,0
2,Kmeans,0.24687,1
2,Kmeans,0.259218,1
2,Kmeans,0.158644,1
2,Kmeans,0.252639,0
2,Kmeans,0.055074,1
2,Kmeans,0.209423,0
2,Kmeans,0.269673,1
2,Kmeans,0.357631,1
2,Kmeans,0.323775,0
2,Kmeans,0.360305,1
2,Kmeans,0.343784,1
2,Kmeans,0.237561,1
2,Kmeans,-0.053969,0
2,Kmeans,0.225278,1
2,Kmeans,0.328435,1
2,Kmeans,-0.074371,0
2,Kmeans,0.212259,0
2,Kmeans,0.325883,1
2,Kmeans,0.150733,0
2,Kmeans,0.254669,0
2,Kmeans,0.353795,1
2,Kmeans,-0.014735,0
2,Kmeans,0.320115,1
2,Kmeans,0.193029,1
2,Kmeans,0.180707,1
2,Kmeans,0.254439,0
2,Kmeans,0.285633,0
2,Kmeans,0.036383,0
2,Kmeans,0.275702,1
2,Kmeans,0.20341,1
2,Kmeans,0.221553,0
2,Kmeans,0.12533,1
2,Kmeans,0.099804,0
2,Kmeans,0.13731,1
2,Kmeans,0.385315,1
2,Kmeans,0.120596,0
2,Kmeans,-0.057891,0
2,Kmeans,0.105794,0
2,Kmeans,0.244347,1
2,Kmeans,0.390208,1
2,Kmeans,0.282507,0
2,Kmeans,0.23186,0
2,Kmeans,0.143452,0
2,Kmeans,0.096062,1
2,Kmeans,0.168007,0
2,Kmeans,0.321744,0
2,Kmeans,0.356138,1
2,Kmeans,0.280531,0
2,Kmeans,0.183761,1
2,Kmeans,0.053937,0
2,Kmeans,0.295731,0
2,Kmeans,0.346777,1
2,Kmeans,0.281705,1
2,Kmeans,0.174694,1
2,Kmeans,0.138279,1
2,Kmeans,0.36872,1
2,Kmeans,0.097051,0
2,Kmeans,0.093175,1
2,Kmeans,0.209946,0
2,Kmeans,0.30342,0
2,Kmeans,0.337347,1
