k,GMM,Kmeans
2,0.09357203131220145,0.2072722608137386
3,0.2129077380812936,0.20698487458552983
4,0.2098777235257254,0.2266546798175811
5,0.1732291614358943,0.214628815056236
6,0.16991112548626505,0.21833529130600693
7,0.1555218998490193,0.21392875691696622
8,0.17744031122727436,0.1992524500095273
9,0.09707720751775947,0.2072941356295705
10,0.11486066219749361,0.2147080612922675
15,0.11262471651032364,0.2082791854260611
20,0.09676279671012121,0.21045759960808735
25,0.05543301112558522,0.21409452321868255
30,0.037573902123115725,0.21354382007780598
