k,GMM,Kmeans
2,0.42563600782778865,0.43052837573385516
3,0.4315068493150685,0.4452054794520548
4,0.4520547945205479,0.4461839530332681
5,0.449119373776908,0.45792563600782776
6,0.4657534246575342,0.461839530332681
7,0.46771037181996084,0.4589041095890411
8,0.4589041095890411,0.45792563600782776
9,0.46477495107632094,0.47162426614481406
10,0.4481409001956947,0.461839530332681
15,0.48532289628180036,0.4911937377690802
20,0.49021526418786693,0.49021526418786693
25,0.4882583170254403,0.49412915851272016
30,0.50293542074364,0.487279843444227
