k,GMM,Kmeans
2,0.002336729318042709,0.00149314767505629
3,0.00013108781311295221,0.0033516211106273805
4,0.0017566561917946642,0.0017268919440318513
5,0.00067467406846467,0.0076193061859000715
6,0.004172702089934204,0.007538477196360453
7,0.003999562464915283,0.009102394729904956
8,0.002976109820315922,0.005552388682814913
9,0.005377098531920449,0.012275647543130964
10,0.0017109684233884005,0.01057899189500364
15,0.008681498243216223,0.013401056608762922
20,0.008721538354129471,0.012727056742125247
25,0.010540365630523702,0.00899819311029354
30,0.016423730049729326,0.009854866677752832
