k,type,score,label
2,Kmeans,0.289456,0
2,Kmeans,0.446063,1
2,Kmeans,0.431429,1
2,Kmeans,0.555756,1
2,Kmeans,0.412077,1
2,Kmeans,0.623226,1
2,Kmeans,0.607669,1
2,Kmeans,0.411359,0
2,Kmeans,0.401386,1
2,Kmeans,0.600847,1
2,Kmeans,0.631013,1
2,Kmeans,0.543025,1
2,Kmeans,0.379759,1
2,Kmeans,0.344161,1
2,Kmeans,0.328179,1
2,Kmeans,0.176925,1
2,Kmeans,0.361246,1
2,Kmeans,0.522724,1
2,Kmeans,0.581126,1
2,Kmeans,0.459902,1
2,Kmeans,0.19411,1
2,Kmeans,0.199094,1
2,Kmeans,0.278976,1
2,Kmeans,0.254922,1
2,Kmeans,-0.044528,0
2,Kmeans,0.318573,0
2,Kmeans,0.165671,1
2,Kmeans,0.613771,1
2,Kmeans,-0.056746,0
2,Kmeans,0.446145,1
2,Kmeans,0.605749,1
2,Kmeans,0.316252,0
2,Kmeans,0.491582,1
2,Kmeans,0.280995,0
2,Kmeans,0.50349,1
2,Kmeans,0.447962,1
2,Kmeans,0.583887,1
2,Kmeans,0.259178,1
2,Kmeans,0.512472,1
2,Kmeans,0.388058,1
2,Kmeans,0.322996,1
2,Kmeans,0.300008,1
2,Kmeans,0.207971,1
2,Kmeans,0.587419,1
2,Kmeans,0.329007,1
2,Kmeans,0.071141,0
2,Kmeans,0.594129,1
2,Kmeans,0.147334,1
2,Kmeans,0.307183,1
2,Kmeans,0.155608,0
2,Kmeans,0.3515,1
2,Kmeans,0.123055,1
2,Kmeans,0.256028,0
2,Kmeans,0.539604,1
2,Kmeans,0.528177,1
2,Kmeans,0.332404,0
2,Kmeans,0.544898,1
2,Kmeans,0.325691,0
2,Kmeans,0.010397,0
2,Kmeans,0.347576,1
2,Kmeans,0.573428,1
2,Kmeans,0.402208,1
2,Kmeans,0.421634,1
2,Kmeans,-0.066612,0
2,Kmeans,0.213255,0
2,Kmeans,0.392802,1
2,Kmeans,-0.002533,0
2,Kmeans,0.386867,0
2,Kmeans,0.247388,0
2,Kmeans,0.304605,0
2,Kmeans,0.590473,1
2,Kmeans,0.422746,1
2,Kmeans,0.573079,1
2,Kmeans,0.16876,0
2,Kmeans,0.424058,0
2,Kmeans,0.578764,1
2,Kmeans,0.332253,1
2,Kmeans,0.624367,1
2,Kmeans,0.544474,1
2,Kmeans,0.54848,1
2,Kmeans,0.289768,0
2,Kmeans,0.301771,0
2,Kmeans,0.447327,1
2,Kmeans,0.387888,0
2,Kmeans,0.430448,1
2,Kmeans,0.200873,1
2,Kmeans,0.270669,1
2,Kmeans,0.177127,0
2,Kmeans,0.247089,1
2,Kmeans,0.15362,0
2,Kmeans,0.283519,0
2,Kmeans,0.269543,0
2,Kmeans,0.574931,1
2,Kmeans,0.277193,0
2,Kmeans,0.544975,1
2,Kmeans,0.488238,1
2,Kmeans,0.607853,1
2,Kmeans,0.513863,1
2,Kmeans,0.575066,1
2,Kmeans,0.23069,0
2,Kmeans,0.267433,0
2,Kmeans,0.326094,0
2,Kmeans,0.283181,1
2,Kmeans,0.31378,0
2,Kmeans,0.546817,1
2,Kmeans,0.023383,0
2,Kmeans,0.379927,1
2,Kmeans,0.605576,1
2,Kmeans,-0.119309,0
2,Kmeans,-0.100651,0
2,Kmeans,0.528316,1
2,Kmeans,0.427816,1
2,Kmeans,0.176125,1
2,Kmeans,0.245219,0
2,Kmeans,0.586296,1
2,Kmeans,0.265302,1
2,Kmeans,0.575705,1
2,Kmeans,0.369339,1
2,Kmeans,0.45953,1
2,Kmeans,0.382593,1
2,Kmeans,0.370559,1
2,Kmeans,0.382739,1
2,Kmeans,0.615023,1
2,Kmeans,0.510993,1
2,Kmeans,0.473582,1
2,Kmeans,0.525537,1
2,Kmeans,0.047792,0
2,Kmeans,0.321029,1
2,Kmeans,0.20882,0
2,Kmeans,0.416042,1
2,Kmeans,0.242764,0
2,Kmeans,0.379017,1
2,Kmeans,0.166011,1
2,Kmeans,0.484818,1
2,Kmeans,0.548482,1
2,Kmeans,0.609552,1
2,Kmeans,0.165175,0
2,Kmeans,0.398623,0
2,Kmeans,0.279621,1
2,Kmeans,0.237331,1
2,Kmeans,0.048327,0
2,Kmeans,-0.056977,0
