k,GMM,Kmeans
2,0.43409827321009303,0.3879364824755695
3,0.1894974613955141,0.32464328842822404
4,0.1789503822197733,0.29142488135260447
5,0.1929030410976968,0.28818206498071214
6,0.18833373976906642,0.29431116704206406
7,0.20466872082682275,0.2702804252574866
8,0.17713712562469514,0.26655095632246795
9,0.18813236187331236,0.27324501025392745
10,0.1773467234519831,0.2761868281787204
15,0.13760492238856026,0.2637336638771177
20,0.14491526033752136,0.257855110189789
25,0.15329869199681084,0.24795630381222356
30,0.07839940306715777,0.2589541143307977
