k,r
0.0,-3.0616000000000003
100.0,-2.7131999999999983
200.0,-2.1788000000000007
300.0,-1.7812000000000006
400.0,-1.7680000000000005
500.0,-1.7163999999999975
600.0,-1.8051999999999986
700.0,-2.003999999999999
800.0,-1.8271999999999995
900.0,-1.7247999999999992
1000.0,-1.5924
1100.0,-1.4444
1200.0,-1.8303999999999971
1300.0,-1.6979999999999982
1400.0,-1.5255999999999998
1500.0,-1.6523999999999999
1600.0,-1.4287999999999998
1700.0,-1.4371999999999991
1800.0,-1.4428000000000005
1900.0,-1.6395999999999973
2000.0,-1.8567999999999947
2100.0,-1.5068000000000006
2200.0,-1.3935999999999995
2300.0,-1.3852000000000002
2400.0,-1.5432000000000006
2500.0,-1.5579999999999987
2600.0,-1.4900000000000009
2700.0,-1.3687999999999996
2800.0,-1.5263999999999986
2900.0,-1.4744
3000.0,-1.4783999999999997
3100.0,-1.6127999999999998
3200.0,-1.3324
3300.0,-1.8039999999999972
3400.0,-1.3919999999999997
3500.0,-1.3675999999999997
3600.0,-1.3599999999999997
3700.0,-1.4076000000000002
3800.0,-1.6583999999999983
3900.0,-1.4047999999999998
4000.0,-1.4364000000000001
4100.0,-1.4252
4200.0,-1.4440000000000006
4300.0,-1.4424
4400.0,-1.5119999999999993
4500.0,-1.4304000000000001
4600.0,-1.6723999999999961
4700.0,-1.5399999999999994
4800.0,-1.5095999999999992
4900.0,-1.5332000000000008
5000.0,-1.4584000000000001
5100.0,-1.4307999999999998
5200.0,-1.3572000000000002
5300.0,-1.3636
5400.0,-1.3780000000000001
5500.0,-1.3944
5600.0,-1.3991999999999998
5700.0,-1.3959999999999997
5800.0,-1.5915999999999995
5900.0,-1.4572
6000.0,-1.5080000000000005
6100.0,-1.4599999999999995
6200.0,-1.3756000000000004
6300.0,-1.3272000000000008
6400.0,-1.5864000000000005
6500.0,-1.4288000000000003
6600.0,-1.3895999999999997
6700.0,-1.443599999999999
6800.0,-1.3732000000000004
6900.0,-1.509199999999998
7000.0,-1.3672000000000002
7100.0,-1.3532000000000004
7200.0,-1.5435999999999992
7300.0,-1.3723999999999996
7400.0,-1.4531999999999998
7500.0,-1.3499999999999996
7600.0,-1.4003999999999996
7700.0,-1.3923999999999999
7800.0,-1.3115999999999994
7900.0,-1.3667999999999996
8000.0,-1.5199999999999987
8100.0,-1.4212000000000002
8200.0,-1.364
8300.0,-1.3484
8400.0,-1.3684
8500.0,-1.3647999999999998
8600.0,-1.3464
8700.0,-1.3832000000000002
8800.0,-1.4684000000000006
8900.0,-1.4756000000000002
9000.0,-1.5028
9100.0,-1.5308
9200.0,-1.6111999999999993
9300.0,-1.4476
9400.0,-1.4664000000000004
9500.0,-1.5531999999999986
9600.0,-1.3964000000000005
9700.0,-1.6347999999999958
9800.0,-1.3776000000000008
9900.0,-1.4027999999999992
