k,d
0.0,1.6399999999999997
1.0,0.8099999999999998
2.0,0.38500000000000023
3.0,0.2393749999999999
4.0,0.1531249999999999
5.0,0.09953124999999985
6.0,0.06858398437499985
7.0,0.043466796874999936
8.0,0.030830688476562396
9.0,0.021909484863281203
10.0,0.014862785339355394
11.0,0.010835771560668866
12.0,0.007467374801635701
13.0,0.0053236848115920665
14.0,0.0038414660096168333
15.0,0.0027003881335258308
16.0,0.001984756849706143
17.0,0.0013922054460271949
18.0,0.001016890201135521
19.0,0.0007343214868160419
