k,r
0.0,-0.039999999999999994
1.0,-0.0796
2.0,-0.11880399999999999
3.0,-0.15761596
4.0,-0.19603980040000002
5.0,-0.23407940239600003
6.0,-0.27173860837204
7.0,-0.3090212222883195
8.0,-0.34593101006543625
9.0,-0.3824716999647818
10.0,-0.4186469829651339
11.0,-0.4544605131354826
12.0,-0.48991590800412765
13.0,-0.5250167489240862
14.0,-0.5597665814348454
15.0,-0.5941689156204969
16.0,-0.628227226464292
17.0,-0.6619449541996489
18.0,-0.6953255046576525
19.0,-0.728372249611076
20.0,-0.7610884771104036
21.0,-0.7934774717047663
22.0,-0.8255421766595887
23.0,-0.8572857077137677
24.0,-0.8887101800530793
25.0,-0.9198183773714002
26.0,-0.9506109353500194
27.0,-0.9810901095754758
28.0,-1.0112544402910792
29.0,-1.0411055177805446
30.0,-1.07063939473817
31.0,-1.0990898096182848
32.0,-1.1248935945880605
33.0,-1.1476032170291228
34.0,-1.1669398205755261
35.0,-1.183140010327247
36.0,-1.196461978364547
37.0,-1.2073240606488977
38.0,-1.2160820840813509
39.0,-1.2231139875426977
40.0,-1.228722210605974
41.0,-1.2331904351594656
42.0,-1.2367359593542429
43.0,-1.239552467468567
44.0,-1.2417827421432737
45.0,-1.2435509495869377
46.0,-1.2449460698197812
47.0,-1.2460499263393896
48.0,-1.2469184501668114
49.0,-1.247604572983511
50.0,-1.2481423290988356
51.0,-1.2485660775926624
52.0,-1.2488960569393173
53.0,-1.2491549085064773
54.0,-1.2493542639596131
55.0,-1.2495093581408323
56.0,-1.2496264658895897
57.0,-1.249716100076116
58.0,-1.2497812005786932
59.0,-1.2498292833339042
60.0,-1.2498611688790062
61.0,-1.2498825020255668
62.0,-1.2498927973116591
63.0,-1.249896546285005
64.0,-1.249892446874937
65.0,-1.2498842610349694
66.0,-1.2498700863481411
67.0,-1.249853216817661
68.0,-1.2498312940645162
69.0,-1.2498073901765279
70.0,-1.2497788940120147
71.0,-1.2497487597053638
72.0,-1.2497140120516228
73.0,-1.2496773523520344
74.0,-1.2496356660728973
75.0,-1.2495910991838093
76.0,-1.2495401414281215
77.0,-1.2494847535826987
78.0,-1.2494217862354877
79.0,-1.2493535840428058
80.0,-1.2492777018170744
81.0,-1.249196832050899
82.0,-1.2491090665434066
83.0,-1.2490158001448073
84.0,-1.2489142388259789
85.0,-1.2488057352409632
86.0,-1.2486882269447335
87.0,-1.2485640153539614
88.0,-1.248431977187343
89.0,-1.2482949207347027
90.0,-1.2481521157229751
91.0,-1.2480063360357632
92.0,-1.2478568847888076
93.0,-1.2477052210625272
94.0,-1.2475398775525868
95.0,-1.2473618954782806
96.0,-1.2471668411495576
97.0,-1.2469574306628743
98.0,-1.246732337796134
99.0,-1.2464949190508237
100.0,-1.246245203819949
101.0,-1.2459866252488583
102.0,-1.2457196914715043
103.0,-1.2454475784465302
104.0,-1.245170824787598
105.0,-1.2448921967741828
106.0,-1.2446120686305469
107.0,-1.2443327669408992
108.0,-1.2440518420070439
109.0,-1.243767604803748
110.0,-1.2434779857996676
111.0,-1.2431829676187098
112.0,-1.2428823578488943
113.0,-1.2425780613996067
114.0,-1.2422710223938547
115.0,-1.2419632978793842
116.0,-1.241655261960208
117.0,-1.2413483155737266
118.0,-1.2410421231973066
119.0,-1.2407376338420064
120.0,-1.2404343589163978
121.0,-1.2401332255698438
122.0,-1.2398339360258888
123.0,-1.2395375461185938
124.0,-1.2392439736804295
125.0,-1.2389543384399277
126.0,-1.2386686612679725
127.0,-1.238388009586922
128.0,-1.2381123950096424
129.0,-1.2378427496726516
130.0,-1.237579008109388
131.0,-1.2373219346320363
132.0,-1.23707136140062
133.0,-1.2368226355662542
134.0,-1.2365746774184103
135.0,-1.2363261221568405
136.0,-1.2360771267447925
137.0,-1.235828544281127
138.0,-1.2355812634139003
139.0,-1.2353367408386833
140.0,-1.2350958206131788
141.0,-1.2348597682884677
142.0,-1.234629075385815
143.0,-1.2344046207410653
144.0,-1.234186543229654
145.0,-1.233975383128699
146.0,-1.2337710264836
147.0,-1.2335737770785458
148.0,-1.2333833689352471
149.0,-1.2331999574040227
150.0,-1.2330231980514532
151.0,-1.232853158448755
152.0,-1.2326894622293276
153.0,-1.2325321268351295
154.0,-1.2323807709521164
155.0,-1.2322353839961233
156.0,-1.232095594349841
157.0,-1.2319613760106978
158.0,-1.2318323744582345
159.0,-1.2317085553912226
160.0,-1.2315895847221598
161.0,-1.2314754238919554
162.0,-1.2313657603701225
163.0,-1.2312605536732733
164.0,-1.2311595127759474
